Datum	Energie DG Leistung	Energie EG Leistung
1356994863	 120.0 	 103.5
1356995462	 120.0 	 84.6
1356996062	 120.0 	 57.8
1356996662	 240.0 	 57.8
1356997262	 360.0 	 0.0
1356997862	 120.0 	 57.9
1356998462	 120.0 	 57.9
1356999062	 240.0 	 58.1
1356999662	 240.0 	 104.8
1357000262	 360.0 	 146.8
1357000862	 240.0 	 103.9
1357001462	 120.0 	 58.2
1357002062	 240.0 	 97.6
1357002662	 120.0 	 97.4
1357003262	 120.0 	 57.5
1357003862	 120.0 	 137.0
1357004462	 360.0 	 57.4
1357005062	 360.0 	 57.5
1357005662	 240.0 	 57.4
1357006262	 120.0 	 149.6
1357006862	 120.0 	 145.2
1357007462	 240.0 	 57.3
1357008062	 120.0 	 46.5
1357008662	 120.0 	 57.3
1357009262	 240.0 	 57.2
1357009862	 360.0 	 57.1
1357010462	 240.0 	 57.1
1357011062	 120.0 	 56.9
1357011662	 120.0 	 57.1
1357012262	 120.0 	 103.6
1357012862	 240.0 	 147.6
1357013462	 120.0 	 100.0
1357014062	 240.0 	 57.1
1357014662	 360.0 	 65.4
1357015262	 360.0 	 63.7
1357015862	 240.0 	 64.5
1357016462	 240.0 	 97.4
1357017062	 240.0 	 64.5
1357017662	 240.0 	 134.7
1357018262	 120.0 	 110.6
1357018862	 240.0 	 64.8
1357019462	 360.0 	 110.5
1357020062	 1080.0 	 166.0
1357020662	 480.0 	 1026.1
1357021262	 360.0 	 0.0
1357021862	 360.0 	 833.5
1357022462	 360.0 	 0.0
1357023062	 240.0 	 84.9
1357023662	 360.0 	 585.5
1357024262	 240.0 	 958.0
1357024862	 360.0 	 0.0
1357025462	 120.0 	 0.0
1357026062	 240.0 	 775.8
1357026662	 960.0 	 1639.7
1357027262	 960.0 	 0.0
1357027862	 1080.0 	 2095.3
1357028462	 1200.0 	 0.0
1357029062	 480.0 	 105.7
1357029662	 240.0 	 655.3
1357030262	 240.0 	 695.9
1357030862	 240.0 	 0.0
1357031462	 240.0 	 1136.8
1357032062	 240.0 	 847.2
1357032662	 120.0 	 0.0
1357033262	 360.0 	 0.0
1357033862	 240.0 	 335.9
1357034462	 120.0 	 2107.2
1357035062	 480.0 	 430.2
1357035662	 480.0 	 3211.2
1357036262	 240.0 	 2683.2
1357036862	 240.0 	 495.5
1357037462	 360.0 	 2605.1
1357038062	 240.0 	 567.8
1357038662	 240.0 	 0.0
1357039262	 240.0 	 823.6
1357039862	 120.0 	 562.6
1357040462	 240.0 	 944.7
1357041062	 360.0 	 147.4
1357041662	 240.0 	 101.7
1357042262	 240.0 	 102.1
1357042862	 480.0 	 102.3
1357043462	 480.0 	 130.0
1357044062	 240.0 	 128.3
1357044662	 360.0 	 97.2
1357045262	 360.0 	 90.0
1357045862	 480.0 	 236.3
1357046462	 480.0 	 247.2
1357047062	 360.0 	 368.9
1357047662	 240.0 	 446.0
1357048262	 240.0 	 403.8
1357048862	 480.0 	 327.3
1357049462	 240.0 	 328.8
1357050062	 240.0 	 361.3
1357050662	 240.0 	 331.2
1357051262	 240.0 	 360.5
1357051862	 240.0 	 379.7
1357052462	 360.0 	 377.0
1357053062	 240.0 	 417.2
1357053662	 240.0 	 392.2
1357054262	 360.0 	 263.4
1357054862	 480.0 	 303.4
1357055462	 600.0 	 255.8
1357056062	 720.0 	 178.3
1357056662	 480.0 	 305.0
1357057262	 480.0 	 306.8
1357057862	 480.0 	 315.5
1357058462	 480.0 	 387.8
1357059062	 960.0 	 0.0
1357059662	 480.0 	 2050.2
1357060262	 960.0 	 0.0
1357060862	 480.0 	 0.0
1357061462	 360.0 	 0.0
1357062062	 480.0 	 0.0
1357062662	 600.0 	 0.0
1357063262	 480.0 	 0.0
1357063862	 480.0 	 661.6
1357064462	 480.0 	 1161.0
1357065062	 360.0 	 495.5
1357065662	 360.0 	 0.0
1357066262	 600.0 	 1238.7
1357066862	 360.0 	 1572.4
1357067462	 240.0 	 0.0
1357068062	 360.0 	 432.3
1357068662	 240.0 	 432.4
1357069262	 240.0 	 433.8
1357069862	 360.0 	 430.7
1357070462	 240.0 	 501.3
1357071062	 240.0 	 494.2
1357071662	 360.0 	 391.7
1357072262	 240.0 	 240.2
1357072862	 360.0 	 264.2
1357073462	 720.0 	 261.7
1357074062	 480.0 	 274.3
1357074662	 480.0 	 216.5
1357075262	 600.0 	 170.4
1357075862	 480.0 	 171.6
1357076462	 600.0 	 221.9
1357077062	 600.0 	 215.7
1357077662	 480.0 	 213.7
1357078262	 120.0 	 135.3
1357078862	 120.0 	 94.4
1357079462	 240.0 	 100.8
1357080062	 120.0 	 101.3
1357080662	 240.0 	 55.7
1357081263	 120.0 	 55.8
1357081862	 120.0 	 55.9
1357082462	 240.0 	 56.1
1357083062	 120.0 	 56.1
1357083662	 240.0 	 56.1
1357084262	 240.0 	 102.0
1357084862	 120.0 	 99.2
1357085462	 120.0 	 102.9
1357086062	 240.0 	 101.2
1357086662	 120.0 	 55.9
1357087262	 240.0 	 56.5
1357087862	 120.0 	 56.3
1357088462	 240.0 	 56.2
1357089062	 240.0 	 55.3
1357089662	 360.0 	 55.3
1357090262	 360.0 	 55.8
1357090862	 240.0 	 0.0
1357091462	 120.0 	 152.3
1357092062	 120.0 	 99.5
1357092662	 240.0 	 0.0
1357093262	 240.0 	 55.4
1357093862	 240.0 	 55.4
1357094462	 240.0 	 44.6
1357095062	 240.0 	 55.2
1357095662	 360.0 	 55.2
1357096262	 240.0 	 55.1
1357096862	 120.0 	 139.7
