Datum	Strom - Verbrauchertotal (Aktuell)
1325372886	 3760.0
1325373484	 3840.0
1325374081	 3600.0
1325374686	 3760.0
1325375283	 3760.0
1325375881	 4160.0
1325376485	 3600.0
1325377083	 2880.0
1325377680	 3120.0
1325378284	 2320.0
1325378882	 2560.0
1325379486	 2880.0
1325380084	 2640.0
1325380682	 2560.0
1325381286	 2400.0
1325381884	 2080.0
1325382482	 2320.0
1325383086	 2320.0
1325383685	 2160.0
1325384282	 2080.0
1325384880	 1920.0
1325385485	 2240.0
1325386083	 1760.0
1325386681	 2080.0
1325387286	 1760.0
1325387884	 2320.0
1325388483	 3040.0
1325389081	 3920.0
1325389685	 2720.0
1325390284	 3840.0
1325390882	 4640.0
1325391486	 2240.0
1325392083	 3440.0
1325392681	 2800.0
1325393285	 2240.0
1325393883	 2000.0
1325394481	 1840.0
1325395085	 1520.0
1325395683	 1760.0
1325396281	 2000.0
1325396886	 2240.0
1325397484	 2080.0
1325398081	 2000.0
1325398686	 2240.0
1325399285	 1920.0
1325399883	 2320.0
1325400481	 2000.0
1325401086	 1920.0
1325401684	 1840.0
1325402281	 2080.0
1325402886	 2080.0
1325403484	 2320.0
1325404082	 2480.0
1325404686	 2640.0
1325405283	 3280.0
1325405881	 3040.0
1325406485	 5040.0
1325407083	 8560.0
1325407681	 2720.0
1325408286	 3120.0
1325408884	 3120.0
1325409482	 3200.0
1325410086	 5040.0
1325410684	 4640.0
1325411282	 3600.0
1325411880	 4960.0
1325412484	 2800.0
1325413083	 4480.0
1325413681	 4000.0
1325414286	 3760.0
1325414883	 3520.0
1325415481	 5760.0
1325416085	 3360.0
1325416683	 3520.0
1325417281	 2960.0
1325417885	 2960.0
1325418483	 4960.0
1325419080	 3120.0
1325419685	 3760.0
1325420283	 4240.0
1325420881	 8160.0
1325421486	 8000.0
1325422083	 3280.0
1325422681	 3280.0
1325423285	 2960.0
1325423883	 3520.0
1325424480	 2880.0
1325425085	 2880.0
1325425684	 3200.0
1325426281	 3280.0
1325426885	 2640.0
1325427483	 3680.0
1325428081	 3040.0
1325428685	 2960.0
1325429283	 3440.0
1325429880	 2720.0
1325430485	 2800.0
1325431083	 2880.0
1325431682	 4080.0
1325432286	 4080.0
1325432884	 6800.0
1325433482	 5040.0
1325434086	 6000.0
1325434684	 7040.0
1325435281	 6000.0
1325435886	 5200.0
1325436484	 6400.0
1325437083	 4720.0
1325437680	 4480.0
1325438285	 7520.0
1325438883	 6000.0
1325439481	 6000.0
1325440086	 7840.0
1325440683	 5840.0
1325441281	 6560.0
1325441885	 6240.0
1325442483	 4880.0
1325443080	 6240.0
1325443685	 9840.0
1325444282	 8000.0
1325444880	 6640.0
1325445484	 4640.0
1325446082	 5600.0
1325446680	 4560.0
1325447284	 6320.0
1325447882	 5680.0
1325448486	 8960.0
1325449084	 6880.0
1325449682	 5920.0
1325450286	 5920.0
1325450884	 4240.0
1325451482	 4240.0
1325452086	 3920.0
1325452684	 4240.0
1325453282	 4240.0
1325453886	 4240.0
1325454484	 4240.0
1325455081	 4080.0
1325455685	 4080.0
1325456283	 4080.0
1325456881	 4160.0
1325457486	 4160.0
1325458083	 4400.0
1325458681	 3040.0
1325459286	 2880.0
1325459883	 3040.0
1325460481	 2560.0
1325461086	 2320.0
1325461684	 4640.0
1325462282	 2320.0
1325462880	 2160.0
1325463485	 2320.0
1325464083	 3360.0
1325464681	 2240.0
1325465285	 2000.0
1325465883	 2160.0
1325466481	 1840.0
1325467085	 2080.0
1325467683	 1920.0
1325468281	 1920.0
1325468885	 2240.0
1325469482	 2320.0
1325470080	 1680.0
1325470685	 2240.0
1325471284	 1760.0
1325471882	 2320.0
1325472486	 1840.0
1325473083	 1600.0
1325473681	 1840.0
1325474285	 1600.0
1325474883	 2400.0
1325475481	 2960.0
1325476086	 2320.0
1325476684	 2080.0
1325477281	 2080.0
1325477885	 2480.0
1325478483	 1840.0
1325479080	 1840.0
1325479685	 1840.0
1325480283	 1680.0
1325480881	 1600.0
1325481485	 4000.0
1325482084	 2240.0
1325482682	 2240.0
1325483286	 2160.0
1325483884	 1920.0
1325484482	 1680.0
1325485080	 2080.0
1325485684	 2240.0
1325486282	 2720.0
1325486886	 3520.0
1325487484	 1920.0
1325488082	 1920.0
1325488686	 4320.0
1325489284	 2240.0
1325489882	 2480.0
1325490480	 3200.0
1325491085	 3040.0
1325491683	 3120.0
1325492281	 3680.0
1325492886	 3680.0
1325493483	 3120.0
1325494081	 3040.0
1325494685	 3440.0
1325495282	 3360.0
1325495881	 3120.0
1325496485	 3200.0
1325497084	 5200.0
1325497681	 3360.0
1325498285	 3440.0
1325498883	 2960.0
1325499480	 3120.0
1325500084	 3200.0
1325500682	 5600.0
1325501281	 3360.0
1325501885	 3840.0
1325502483	 3520.0
1325503082	 3520.0
1325503686	 5920.0
1325504284	 5520.0
1325504882	 4560.0
1325505486	 4480.0
1325506084	 4640.0
1325506682	 4480.0
1325507286	 4000.0
1325507884	 6720.0
1325508482	 3600.0
1325509080	 4000.0
1325509685	 3360.0
1325510282	 3840.0
1325510880	 4960.0
1325511485	 5920.0
1325512084	 2880.0
1325512682	 3120.0
1325513286	 3280.0
1325513884	 5120.0
1325514481	 2720.0
1325515086	 2720.0
1325515684	 4000.0
1325516282	 5040.0
1325516886	 3360.0
1325517485	 3680.0
1325518083	 2880.0
1325518681	 2880.0
1325519286	 2880.0
1325519885	 2480.0
1325520483	 2800.0
1325521082	 2960.0
1325521686	 3440.0
1325522284	 3360.0
1325522882	 3680.0
1325523481	 3840.0
1325524086	 6080.0
1325524683	 7280.0
1325525282	 7440.0
1325525880	 6400.0
1325526484	 4960.0
1325527082	 4800.0
1325527686	 4480.0
1325528285	 5040.0
1325528883	 4880.0
1325529481	 6640.0
1325530086	 5440.0
1325530684	 4640.0
1325531281	 5040.0
1325531885	 5920.0
1325532484	 6720.0
1325533083	 6160.0
1325533681	 5760.0
1325534286	 5440.0
1325534883	 8240.0
1325535481	 7680.0
1325536085	 4880.0
1325536683	 4640.0
1325537281	 4240.0
1325537885	 3600.0
1325538483	 4000.0
1325539081	 4240.0
1325539686	 4240.0
1325540284	 3760.0
1325540882	 3600.0
1325541480	 3360.0
1325542085	 3600.0
1325542683	 3440.0
1325543280	 3040.0
1325543885	 3120.0
1325544483	 3360.0
1325545081	 2880.0
1325545686	 4880.0
1325546284	 2400.0
1325546881	 2800.0
1325547485	 2800.0
1325548083	 4640.0
1325548681	 2720.0
1325549285	 2320.0
1325549882	 2000.0
1325550481	 2160.0
1325551085	 1920.0
1325551683	 2080.0
1325552282	 2080.0
1325552886	 2320.0
1325553484	 1840.0
1325554082	 1680.0
1325554686	 1920.0
1325555284	 1920.0
1325555882	 2320.0
1325556486	 1760.0
1325557084	 1840.0
1325557682	 1840.0
1325558280	 2000.0
1325558885	 2400.0
1325559483	 2160.0
1325560081	 1920.0
1325560685	 1920.0
1325561284	 2000.0
1325561882	 1920.0
1325562486	 2080.0
1325563084	 2400.0
1325563681	 2560.0
1325564286	 2880.0
1325564884	 2320.0
1325565481	 2160.0
1325566086	 2000.0
1325566684	 2240.0
1325567281	 1840.0
1325567886	 2320.0
1325568484	 2400.0
1325569082	 2080.0
1325569686	 2240.0
1325570283	 1440.0
1325570881	 2400.0
1325571486	 2000.0
1325572084	 1920.0
1325572682	 2400.0
1325573286	 3120.0
1325573885	 2480.0
1325574482	 2240.0
1325575080	 2720.0
1325575684	 2480.0
1325576282	 2480.0
1325576886	 5360.0
1325577483	 6080.0
1325578081	 2880.0
1325578685	 3120.0
1325579283	 3280.0
1325579881	 5280.0
1325580486	 6400.0
1325581084	 4880.0
1325581681	 3920.0
1325582286	 4960.0
1325582884	 3040.0
1325583482	 3920.0
1325584080	 4880.0
1325584684	 5120.0
1325585282	 3920.0
1325585886	 7600.0
1325586483	 8640.0
1325587081	 7840.0
1325587685	 7120.0
1325588283	 8400.0
1325588882	 5520.0
1325589482	 4240.0
1325590081	 4400.0
1325590680	 4320.0
1325591280	 3520.0
1325591885	 4160.0
1325592485	 3840.0
1325593083	 3920.0
1325593683	 3680.0
1325594282	 3920.0
1325594881	 4000.0
1325595481	 3840.0
1325596086	 3600.0
1325596685	 3920.0
1325597284	 4160.0
1325597884	 3840.0
1325598482	 5120.0
1325599086	 4240.0
1325599686	 3200.0
1325600283	 3120.0
1325600882	 3200.0
1325601481	 3040.0
1325602080	 3040.0
1325602680	 3760.0
1325603286	 3680.0
1325603885	 6400.0
1325604484	 5840.0
1325605083	 5760.0
1325605683	 6000.0
1325606282	 4480.0
1325606881	 4880.0
1325607481	 5040.0
1325608085	 5760.0
1325608685	 7280.0
1325609283	 6000.0
1325609882	 6800.0
1325610482	 6640.0
1325611080	 5520.0
1325611686	 5440.0
1325612286	 5280.0
1325612885	 5680.0
1325613485	 6160.0
1325614083	 4880.0
1325614682	 6320.0
1325615281	 6640.0
1325615881	 9360.0
1325616485	 6960.0
1325617084	 5760.0
1325617683	 4880.0
1325618282	 8160.0
1325618881	 4640.0
1325619481	 4720.0
1325620080	 5040.0
1325620680	 4560.0
1325621285	 6640.0
1325621885	 6480.0
1325622484	 4160.0
1325623082	 4720.0
1325623681	 4080.0
1325624286	 4240.0
1325624886	 4480.0
1325625485	 4160.0
1325626084	 3920.0
1325626684	 4000.0
1325627282	 4240.0
1325627882	 4880.0
1325628481	 4400.0
1325629086	 4080.0
1325629685	 3840.0
1325630283	 3360.0
1325630883	 3440.0
1325631482	 2640.0
1325632081	 3120.0
1325632681	 2960.0
1325633285	 3440.0
1325633884	 2880.0
1325634484	 2880.0
1325635084	 2560.0
1325635683	 3200.0
1325636282	 3200.0
1325636882	 2720.0
1325637480	 2800.0
1325638086	 2640.0
1325638686	 2640.0
1325639285	 2400.0
1325639885	 2480.0
1325640483	 2000.0
1325641083	 2000.0
1325641682	 2560.0
1325642281	 2000.0
1325642880	 1840.0
1325643486	 1840.0
1325644086	 1840.0
1325644685	 2000.0
1325645284	 2320.0
1325645883	 2000.0
1325646481	 1920.0
1325647080	 1600.0
1325647686	 1840.0
1325648285	 2080.0
1325648885	 2800.0
1325649484	 2800.0
1325650084	 2320.0
1325650682	 2000.0
1325651281	 1840.0
1325651886	 2000.0
1325652485	 2000.0
1325653085	 1920.0
1325653685	 1840.0
1325654284	 2240.0
1325654883	 1920.0
1325655482	 1840.0
1325656082	 2080.0
1325656681	 2320.0
