Datum	Strom - Verbrauchertotal (Aktuell)
1356994860	 3280.0
1356995466	 2080.0
1356996065	 2160.0
1356996665	 2320.0
1356997264	 2720.0
1356997863	 2480.0
1356998462	 2240.0
1356999061	 2160.0
1356999660	 1840.0
1357000260	 2160.0
1357000865	 2080.0
1357001465	 1760.0
1357002064	 2000.0
1357002663	 1920.0
1357003261	 2000.0
1357003861	 2080.0
1357004460	 1760.0
1357005060	 1360.0
1357005665	 1840.0
1357006265	 2000.0
1357006864	 1600.0
1357007463	 1760.0
1357008063	 1920.0
1357008663	 1440.0
1357009262	 1680.0
1357009861	 2240.0
1357010461	 1440.0
1357011061	 1440.0
1357011660	 2000.0
1357012260	 1920.0
1357012860	 1600.0
1357013466	 2080.0
1357014065	 2000.0
1357014665	 1760.0
1357015265	 2160.0
1357015863	 1920.0
1357016463	 1840.0
1357017062	 1920.0
1357017661	 2240.0
1357018261	 2240.0
1357018865	 2320.0
1357019464	 2560.0
1357020064	 2480.0
1357020664	 2240.0
1357021263	 2320.0
1357021862	 2560.0
1357022461	 2240.0
1357023061	 2160.0
1357023660	 2640.0
1357024269	 2160.0
1357024865	 2640.0
1357025465	 6720.0
1357026065	 4240.0
1357026663	 2400.0
1357027263	 3280.0
1357027863	 2960.0
1357028463	 2880.0
1357029062	 2880.0
1357029661	 2560.0
1357030260	 2640.0
1357030860	 2480.0
1357031466	 2800.0
1357032065	 4320.0
1357032663	 4240.0
1357033263	 2480.0
1357033862	 2080.0
1357034461	 2320.0
1357035060	 2720.0
1357035660	 2560.0
1357036266	 3120.0
1357036865	 2320.0
1357037464	 2400.0
1357038064	 2720.0
1357038664	 2800.0
1357039263	 2720.0
1357039863	 2880.0
1357040463	 2560.0
1357041063	 2640.0
1357041661	 2960.0
1357042260	 3520.0
1357042866	 3200.0
1357043464	 3280.0
1357044064	 3840.0
1357044663	 4240.0
1357045262	 5760.0
1357045861	 3360.0
1357046461	 2800.0
1357047061	 2480.0
1357047666	 2800.0
1357048264	 2640.0
1357048863	 3120.0
1357049462	 3120.0
1357050060	 2960.0
1357050666	 2960.0
1357051265	 2960.0
1357051864	 3120.0
1357052464	 2800.0
1357053063	 3120.0
1357053663	 3120.0
1357054261	 3440.0
1357054861	 4240.0
1357055461	 4080.0
1357056061	 4640.0
1357056660	 4480.0
1357057266	 4320.0
1357057865	 4400.0
1357058465	 7520.0
1357059063	 6960.0
1357059663	 5040.0
1357060262	 8640.0
1357060862	 9920.0
1357061461	 10000.0
1357062065	 7680.0
1357062665	 8480.0
1357063265	 9200.0
1357063864	 7760.0
1357064463	 5120.0
1357065063	 5200.0
1357065662	 4800.0
1357066262	 6720.0
1357066862	 5120.0
1357067461	 4560.0
1357068060	 3920.0
