Datum	Strom - Verbrauchertotal (Aktuell)
1388530983	 3040.0
1388531583	 3040.0
1388532183	 2640.0
1388532783	 2800.0
1388533383	 2720.0
1388533983	 2400.0
1388534583	 2400.0
1388535183	 2080.0
1388535783	 2160.0
1388536383	 2240.0
1388536983	 3120.0
1388537583	 2880.0
1388538183	 2160.0
1388538783	 1760.0
1388539383	 1920.0
1388539983	 1920.0
1388540583	 2160.0
1388541183	 2080.0
1388541783	 1520.0
1388542383	 1760.0
1388542983	 2160.0
1388543583	 1840.0
1388544183	 1760.0
1388544783	 1440.0
1388545383	 1520.0
1388545983	 1600.0
1388546583	 1680.0
1388547183	 1120.0
1388547783	 1440.0
1388548383	 1840.0
1388548983	 1600.0
1388549583	 1760.0
1388550183	 2480.0
1388550783	 5760.0
1388551383	 6480.0
1388551983	 6000.0
1388552583	 6400.0
1388553183	 6800.0
1388553783	 6720.0
1388554383	 6480.0
1388554983	 6320.0
1388555583	 6480.0
1388556183	 7040.0
1388556783	 6080.0
1388557383	 6160.0
1388557983	 6400.0
1388558583	 5360.0
1388559183	 1920.0
1388559783	 1760.0
1388560383	 2240.0
1388560983	 2640.0
1388561583	 6880.0
1388562183	 1520.0
1388562783	 1600.0
1388563383	 6720.0
1388563983	 6400.0
1388564583	 6240.0
1388565183	 6880.0
1388565783	 7040.0
1388566383	 4880.0
1388566983	 3360.0
1388567583	 3840.0
1388568183	 2960.0
1388568783	 3040.0
1388569383	 3360.0
1388569983	 2000.0
1388570583	 2480.0
1388571183	 2880.0
1388571783	 2880.0
1388572383	 4000.0
1388572983	 3360.0
1388573583	 6320.0
1388574183	 6400.0
1388574783	 6400.0
1388575383	 6320.0
1388575983	 6240.0
1388576583	 6560.0
1388577183	 6160.0
1388577783	 6080.0
1388578383	 6480.0
1388578983	 6160.0
1388579583	 6000.0
1388580183	 2960.0
1388580783	 2720.0
1388581383	 2640.0
1388581983	 2560.0
1388582583	 2720.0
1388583183	 3280.0
1388583783	 3760.0
1388584383	 2720.0
1388584983	 2800.0
1388585583	 5920.0
1388586183	 5840.0
1388586783	 6880.0
1388587383	 6400.0
1388587983	 6480.0
1388588583	 5680.0
1388589183	 5840.0
1388589783	 6320.0
1388590383	 6080.0
1388590983	 5200.0
1388591583	 6160.0
1388592183	 6400.0
1388592783	 5840.0
1388593383	 6800.0
1388593983	 9040.0
1388594583	 11360.0
1388595183	 6640.0
1388595783	 5520.0
1388596383	 7280.0
1388596983	 7600.0
1388597583	 6480.0
1388598183	 4320.0
1388598783	 4480.0
1388599383	 6080.0
1388599983	 6640.0
1388600583	 6160.0
1388601183	 6000.0
1388601783	 4560.0
1388602383	 6160.0
1388602983	 6640.0
1388603583	 5840.0
1388604183	 7280.0
1388604783	 6800.0
1388605383	 5840.0
1388605983	 6720.0
1388606583	 6320.0
1388607183	 6320.0
1388607783	 4160.0
1388608383	 4480.0
1388608983	 5680.0
1388609583	 6560.0
1388610183	 6400.0
1388610783	 6400.0
1388611383	 6320.0
1388611983	 6560.0
1388612583	 6640.0
1388613183	 3600.0
1388613783	 3040.0
1388614383	 2960.0
1388614983	 2880.0
1388615583	 2560.0
1388616183	 2640.0
1388616783	 2480.0
1388617383	 2080.0
1388617983	 2160.0
1388618583	 2480.0
1388619183	 1920.0
1388619783	 1920.0
1388620383	 1760.0
1388620983	 2160.0
1388621583	 1760.0
1388622183	 2240.0
1388622783	 1680.0
1388623383	 2080.0
1388623983	 2240.0
1388624583	 2320.0
1388625183	 1920.0
1388625783	 2000.0
1388626383	 1440.0
1388626983	 1520.0
1388627583	 1600.0
1388628183	 1600.0
1388628783	 1440.0
1388629383	 1760.0
1388629983	 1360.0
1388630583	 1600.0
1388631183	 1440.0
1388631783	 1680.0
1388632383	 1360.0
1388632983	 1520.0
1388633583	 1520.0
1388634183	 2640.0
1388634783	 1440.0
1388635383	 2320.0
1388635983	 2000.0
1388636583	 2320.0
1388637183	 1760.0
1388637783	 2320.0
1388638383	 4720.0
1388638983	 6640.0
1388639583	 6720.0
1388640183	 5920.0
1388640783	 6160.0
1388641383	 6320.0
1388641983	 6400.0
1388642583	 6480.0
1388643183	 5440.0
1388643783	 6320.0
1388644383	 6400.0
1388644983	 6240.0
1388645583	 6560.0
1388646183	 6960.0
1388646783	 7440.0
1388647383	 6880.0
1388647983	 5360.0
1388648583	 2400.0
1388649183	 2560.0
1388649783	 2400.0
1388650383	 3040.0
1388650983	 7920.0
1388651583	 3920.0
1388652183	 2320.0
1388652783	 5920.0
1388653382	 5920.0
1388653982	 5600.0
1388654582	 7040.0
1388655182	 7200.0
1388655782	 4160.0
1388656382	 2640.0
1388656982	 2480.0
1388657582	 2800.0
1388658182	 3200.0
1388658782	 4000.0
1388659382	 2320.0
1388659982	 4800.0
1388660582	 4320.0
1388661182	 3120.0
1388661782	 3040.0
1388662382	 5280.0
1388662982	 4800.0
1388663582	 5840.0
1388664182	 6400.0
1388664782	 3680.0
1388665382	 3840.0
1388665982	 3280.0
1388666582	 3440.0
1388667182	 4160.0
1388667782	 3360.0
1388668382	 2480.0
1388668982	 2800.0
1388669582	 2880.0
1388670182	 2640.0
1388670782	 2240.0
1388671382	 2400.0
1388671982	 3200.0
1388672582	 2720.0
1388673182	 2800.0
1388673782	 2800.0
1388674382	 2560.0
1388674982	 3520.0
1388675582	 3600.0
1388676182	 5440.0
1388676782	 6000.0
1388677382	 3920.0
1388677982	 6240.0
1388678582	 6720.0
1388679182	 6720.0
1388679782	 5680.0
1388680382	 5120.0
1388680982	 4720.0
1388681582	 5840.0
1388682182	 6720.0
1388682782	 6560.0
1388683382	 5600.0
1388683982	 4480.0
1388684582	 4720.0
1388685182	 4640.0
1388685782	 3920.0
1388686382	 4160.0
1388686982	 4400.0
1388687582	 3600.0
1388688182	 5680.0
1388688782	 6080.0
1388689382	 5600.0
1388689982	 3920.0
1388690582	 3600.0
1388691182	 3840.0
1388691782	 9120.0
1388692382	 6800.0
1388692982	 4800.0
1388693582	 4240.0
1388694182	 4000.0
1388694782	 4640.0
1388695382	 3840.0
1388695982	 3760.0
1388696582	 3520.0
1388697182	 4160.0
1388697782	 6880.0
1388698382	 5040.0
1388698982	 4240.0
1388699582	 5120.0
1388700182	 3200.0
1388700782	 2560.0
1388701382	 2480.0
1388701982	 2560.0
1388702582	 2560.0
1388703182	 2640.0
1388703782	 2400.0
1388704382	 1600.0
1388704982	 1920.0
1388705582	 1680.0
1388706182	 1920.0
1388706782	 2080.0
1388707382	 2240.0
1388707982	 1600.0
1388708582	 1520.0
1388709182	 1520.0
1388709781	 2080.0
